character,unicode,name,languages,rom_a_byte,rom_b_byte,rom_c_byte,fallback
Ä,U+00C4,LATIN CAPITAL LETTER A WITH DIAERESIS,Estonian,0x5B,0xA0,0x8E,
Õ,U+00D5,LATIN CAPITAL LETTER O WITH TILDE,Estonian,,0xD5,0xEC,"O, Ó, Ô, Ö, o, ò, ó, ô, ö"
Ö,U+00D6,LATIN CAPITAL LETTER O WITH DIAERESIS,Estonian,0x5C,0xD6,0x99,
Ü,U+00DC,LATIN CAPITAL LETTER U WITH DIAERESIS,Estonian,0x5E,0xDC,0x9A,
ä,U+00E4,LATIN SMALL LETTER A WITH DIAERESIS,Estonian,0x7B,0xE4,0x84,
õ,U+00F5,LATIN SMALL LETTER O WITH TILDE,Estonian,,0xF5,0xED,"o, ò, ó, ô, ö, O, Ó, Ô, Ö"
ö,U+00F6,LATIN SMALL LETTER O WITH DIAERESIS,Estonian,0x7C,,0x94,"o, ò, õ, O, Ó, Ô, Õ, Ö, Ő"
ü,U+00FC,LATIN SMALL LETTER U WITH DIAERESIS,Estonian,0x7E,0xFC,0x81,
Ā,U+0100,LATIN CAPITAL LETTER A WITH MACRON,Latvian,,,,"A, Á, Ä, Ȧ, a, à, á, ä, ȧ, À, Â, Ã, Ą, ã"
ā,U+0101,LATIN SMALL LETTER A WITH MACRON,Latvian,,,,"a, à, á, ä, ȧ, A, Á, Ä, Ȧ, ã, À, Â, Ã, Ą"
Ą,U+0104,LATIN CAPITAL LETTER A WITH OGONEK,Lithuanian,,0xA1,,"A, Á, Ä, Ȧ, a, à, á, ä, ȧ, Â, Ã, ã"
ą,U+0105,LATIN SMALL LETTER A WITH OGONEK,Lithuanian,,,,"a, à, á, ä, ȧ, A, Á, Ä, Ȧ, ã, À, Â, Ã, Ą"
Č,U+010C,LATIN CAPITAL LETTER C WITH CARON,Latvian; Lithuanian,0xF0,0xA3,,"C, Ç, c, ç"
č,U+010D,LATIN SMALL LETTER C WITH CARON,Latvian; Lithuanian,0xF5,,,"c, ç, C, Ç, Ć, Č"
Ē,U+0112,LATIN CAPITAL LETTER E WITH MACRON,Latvian,,,,"E, È, É, Ê, Ě, e, è, é, ê, ě, Ë, ë, ę"
ē,U+0113,LATIN SMALL LETTER E WITH MACRON,Latvian,,,,"e, è, é, ê, ě, E, È, É, Ê, Ě, ë, ę, Ë"
Ė,U+0116,LATIN CAPITAL LETTER E WITH DOT ABOVE,Lithuanian,,,,"E, È, É, Ê, Ě, e, è, é, ê, ě, Ë, ë, ę"
ė,U+0117,LATIN SMALL LETTER E WITH DOT ABOVE,Lithuanian,,,,"e, è, é, ê, ě, E, È, É, Ê, Ě, ë, ę, Ë"
Ę,U+0118,LATIN CAPITAL LETTER E WITH OGONEK,Lithuanian,,,,"E, È, É, Ê, Ě, e, è, é, ê, ě, Ë, ë, ę"
ę,U+0119,LATIN SMALL LETTER E WITH OGONEK,Lithuanian,,0xA6,,"e, è, é, ê, ě, E, È, É, Ê, Ě, ë"
Ģ,U+0122,LATIN CAPITAL LETTER G WITH CEDILLA,Latvian,,,,"G, g, ğ, Ğ"
ģ,U+0123,LATIN SMALL LETTER G WITH CEDILLA,Latvian,,,,"g, ğ, G, Ğ"
Ī,U+012A,LATIN CAPITAL LETTER I WITH MACRON,Latvian,,,,"I, Í, İ, i, ì, í, Ì, Î, Ï, î, ï"
ī,U+012B,LATIN SMALL LETTER I WITH MACRON,Latvian,,,,"i, ì, í, I, Í, İ, î, ï, Ì, Î, Ï"
Į,U+012E,LATIN CAPITAL LETTER I WITH OGONEK,Lithuanian,,,,"I, Í, İ, i, ì, í, Ì, Î, Ï, î, ï"
į,U+012F,LATIN SMALL LETTER I WITH OGONEK,Lithuanian,,,,"i, ì, í, I, Í, İ, î, ï, Ì, Î, Ï"
Ķ,U+0136,LATIN CAPITAL LETTER K WITH CEDILLA,Latvian,,,,"K, k"
ķ,U+0137,LATIN SMALL LETTER K WITH CEDILLA,Latvian,,,,"k, K"
Ļ,U+013B,LATIN CAPITAL LETTER L WITH CEDILLA,Latvian,,,,"L, l, ľ"
ļ,U+013C,LATIN SMALL LETTER L WITH CEDILLA,Latvian,,,,"l, L, ľ"
Ņ,U+0145,LATIN CAPITAL LETTER N WITH CEDILLA,Latvian,,,,"N, Ñ, n, ñ, Ń, Ň"
ņ,U+0146,LATIN SMALL LETTER N WITH CEDILLA,Latvian,,,,"n, ñ, N, Ñ, Ń, Ň"
Š,U+0160,LATIN CAPITAL LETTER S WITH CARON,Estonian; Latvian; Lithuanian,0xF3,,,"S, Ś, Ş, s, ş, š"
š,U+0161,LATIN SMALL LETTER S WITH CARON,Estonian; Latvian; Lithuanian,0xF8,0xB3,,"s, S"
