b3-b0 \ b7-b4,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
0000,,▶, ,0,¡,P,¿,p,⁰,♪,@,,Γ,⅟,￬,Č
0001,,◀,!,1,A,Q,a,q,¹,♫,£,¢,Λ,⅘,￩,Ě
0010,,⏫,"""",2,B,R,b,r,²,,$,Φ,Π,⅗,Á,Ř
0011,,⏬,#,3,C,S,c,s,³,♥,¥,τ,Υ,⅖,Í,Š
0100,,⏪,¤,4,D,T,d,t,⁴,,è,λ,_,⅕,Ó,Ž
0101,,⏩,%,5,E,U,e,u,⁵,,é,Ω,È,ƒ,Ú,č
0110,,↖,&,6,F,V,f,v,⁶,｢,ù,π,Ê,█,Ý,ě
0111,,↗,',7,G,W,g,w,⁷,｣,ì,ψ,ê,▉,á,ř
1000,,↙,(,8,H,X,h,x,⁸,“,ò,Σ,ç,▋,í,š
1001,,↘,),9,I,Y,i,y,⁹,”,Ç,Θ,ğ,▍,ó,ž
1010,,▲,*,:,J,Z,j,z,½,(,,Ξ,Ş,▏,ú,[
1011,,▼,+,;,K,Ä,k,ä,¼,),Ø,●,ş,㌮,ý,\
1100,,↵,",",<,L,Ö,l,ö,±,α,ø,Æ,İ,,Ô,]
1101,,^,-,=,M,Ñ,m,ñ,≥,ε,,æ,ı,･,ô,{
1110,,ˇ,.,>,N,Ü,n,ü,≤,δ,Ȧ,β,,￪,Ů,¦
1111,,,/,?,O,,o,à,μ,,ȧ,É,,￫,ů,}
