hex,binary,decimal,rom_value,ascii_value,rom_unicode_name,ascii_unicode_name
0x00,0000_0000,0,⌠,CONTROL (U+0000),TOP HALF INTEGRAL,CONTROL CHARACTER (U+0000)
0x01,0000_0001,1,⌡,CONTROL (U+0001),BOTTOM HALF INTEGRAL,CONTROL CHARACTER (U+0001)
0x02,0000_0010,2,∞,CONTROL (U+0002),INFINITY,CONTROL CHARACTER (U+0002)
0x03,0000_0011,3,∇,CONTROL (U+0003),NABLA,CONTROL CHARACTER (U+0003)
0x04,0000_0100,4,↵,CONTROL (U+0004),DOWNWARDS ARROW WITH CORNER LEFTWARDS,CONTROL CHARACTER (U+0004)
0x05,0000_0101,5,￪,CONTROL (U+0005),HALFWIDTH UPWARDS ARROW,CONTROL CHARACTER (U+0005)
0x06,0000_0110,6,￬,CONTROL (U+0006),HALFWIDTH DOWNWARDS ARROW,CONTROL CHARACTER (U+0006)
0x07,0000_0111,7,￫,CONTROL (U+0007),HALFWIDTH RIGHTWARDS ARROW,CONTROL CHARACTER (U+0007)
0x08,0000_1000,8,￩,CONTROL (U+0008),HALFWIDTH LEFTWARDS ARROW,CONTROL CHARACTER (U+0008)
0x09,0000_1001,9,┌,CONTROL (U+0009),BOX DRAWINGS LIGHT DOWN AND RIGHT,CONTROL CHARACTER (U+0009)
0x0A,0000_1010,10,┐,CONTROL (U+000A),BOX DRAWINGS LIGHT DOWN AND LEFT,CONTROL CHARACTER (U+000A)
0x0B,0000_1011,11,└,CONTROL (U+000B),BOX DRAWINGS LIGHT UP AND RIGHT,CONTROL CHARACTER (U+000B)
0x0C,0000_1100,12,┘,CONTROL (U+000C),BOX DRAWINGS LIGHT UP AND LEFT,CONTROL CHARACTER (U+000C)
0x0D,0000_1101,13,･,CONTROL (U+000D),HALFWIDTH KATAKANA MIDDLE DOT,CONTROL CHARACTER (U+000D)
0x0E,0000_1110,14,®,CONTROL (U+000E),REGISTERED SIGN,CONTROL CHARACTER (U+000E)
0x0F,0000_1111,15,©,CONTROL (U+000F),COPYRIGHT SIGN,CONTROL CHARACTER (U+000F)
0x10,0001_0000,16,™,CONTROL (U+0010),TRADE MARK SIGN,CONTROL CHARACTER (U+0010)
0x11,0001_0001,17,†,CONTROL (U+0011),DAGGER,CONTROL CHARACTER (U+0011)
0x12,0001_0010,18,§,CONTROL (U+0012),SECTION SIGN,CONTROL CHARACTER (U+0012)
0x13,0001_0011,19,¶,CONTROL (U+0013),PILCROW SIGN,CONTROL CHARACTER (U+0013)
0x14,0001_0100,20,Γ,CONTROL (U+0014),GREEK CAPITAL LETTER GAMMA,CONTROL CHARACTER (U+0014)
0x15,0001_0101,21,Δ,CONTROL (U+0015),GREEK CAPITAL LETTER DELTA,CONTROL CHARACTER (U+0015)
0x16,0001_0110,22,Θ,CONTROL (U+0016),GREEK CAPITAL LETTER THETA,CONTROL CHARACTER (U+0016)
0x17,0001_0111,23,Λ,CONTROL (U+0017),GREEK CAPITAL LETTER LAMDA,CONTROL CHARACTER (U+0017)
0x18,0001_1000,24,Ξ,CONTROL (U+0018),GREEK CAPITAL LETTER XI,CONTROL CHARACTER (U+0018)
0x19,0001_1001,25,Π,CONTROL (U+0019),GREEK CAPITAL LETTER PI,CONTROL CHARACTER (U+0019)
