b3-b0 \ b7-b4,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
0000,⌠,™, ,0,@,P,`,p,Ç,É,,ｰ,ﾀ,ﾐ,á,˙
0001,⌡,†,!,1,A,Q,a,q,ü,æ,｡,ｱ,ﾁ,ﾑ,í,¨
0010,∞,§,"""",2,B,R,b,r,é,Æ,｢,ｲ,ﾂ,ﾒ,ó,˚
0011,∇,¶,#,3,C,S,c,s,ȧ,ô,｣,ｳ,ﾃ,ﾓ,ú,ˋ
0100,↵,Γ,$,4,D,T,d,t,ä,ö,､,ｴ,ﾄ,ﾔ,¢,´
0101,￪,Δ,%,5,E,U,e,u,à,ò,･,ｵ,ﾅ,ﾕ,£,½
0110,￬,Θ,&,6,F,V,f,v,ȧ,û,ｦ,ｶ,ﾆ,ﾖ,¥,¼
0111,￫,Λ,',7,G,W,g,w,ç,ù,ｧ,ｷ,ﾇ,ﾗ,㌮,×
1000,￩,Ξ,(,8,H,X,h,x,ê,ÿ,ｨ,ｸ,ﾈ,ﾘ,ƒ,÷
1001,┌,Π,),9,I,Y,i,y,ë,Ö,ｩ,ｹ,ﾉ,ﾙ,,≥
1010,┐,Σ,*,:,J,Z,j,z,è,Ü,ｪ,ｺ,ﾊ,ﾚ,Ã,≤
1011,└,Υ,+,;,K,[,k,{,ï,ñ,ｫ,ｻ,ﾋ,ﾛ,ã,≪
1100,┘,Φ,",",<,L,\,l,|,î,Ñ,ｬ,ｼ,ﾌ,ﾜ,Õ,≫
1101,･,Ψ,-,=,M,],m,},ì,,ｭ,ｽ,ﾍ,ﾝ,õ,≠
1110,®,Ω,.,>,N,^,n,￫,Ä,,ｮ,ｾ,ﾎ,ﾞ,Ø,√
1111,©,α,/,?,O,_,o,￩,Â,¿,ｯ,ｿ,ﾏ,ﾟ,ø,‾
